id,name,company,type,address,city,postal,state,lat,lon,profile_url
14233,Bolingbroke Technology Campus - Bldg 2,"Bolingbroke Technology Center, LLC",Colocation,US Highway 41 & I-475,Macon,31210,Georgia,32.939597,-83.830691,https://www.datacentermap.com/usa/georgia/atlanta/bolingbroke-technology-campus-bldg-2/
8359,American Tower EDC Atlanta,American Tower Corporation,Colocation,2374 Fairburn Road Southwest,Atlanta,30303,Georgia,33.6900488,-84.51111759999999,https://www.datacentermap.com/usa/georgia/atlanta/atc-edge-data-atlanta/
14037,Meta Stanton Springs - Building 4,Meta,Hyperscaler,100 Move Fast Way,Social Circle,30025,Georgia,33.59949676234947,-83.69619986163161,https://www.datacentermap.com/usa/georgia/atlanta/meta-stanton-springs-building-4/
14046,Microsoft East Point (ATL06),Microsoft,Hyperscaler,4165 Ben Hill Rd,Atlanta,30349,Georgia,33.639239,-84.517141,https://www.datacentermap.com/usa/georgia/atlanta/microsoft-east-point-atl06/
14045,Microsoft East Point Campus,Microsoft,Campus,4165 Ben Hill Rd,Atlanta,30349,Georgia,33.641777,-84.517228,https://www.datacentermap.com/usa/georgia/atlanta/microsoft-east-point-campus/
14035,Meta Stanton Springs - Building 2,Meta,Hyperscaler,100 Move Fast Way,Social Circle,30025,Georgia,33.60069237800947,-83.70584100807238,https://www.datacentermap.com/usa/georgia/atlanta/meta-stanton-springs-building-2/
14034,Meta Stanton Springs - Building 1,Meta,Hyperscaler,100 Move Fast Way,Social Circle,30025,Georgia,33.6021274,-83.7048852,https://www.datacentermap.com/usa/georgia/atlanta/meta-stanton-springs-building-1/
14743,GrindCap Marietta Campus,Grind Capital Group,Campus,1751 Bells Ferry Rd,Marietta,30066,Georgia,33.9941647,-84.55364279999999,https://www.datacentermap.com/usa/georgia/atlanta/grindcap-marietta-campus/
13442,Google Douglas County Data Center 2,Google,Hyperscaler,300 Riverside Pkwy,Lithia Springs,30122,Georgia,33.75208919114918,-84.58692635674332,https://www.datacentermap.com/usa/georgia/atlanta/google-douglas-county-data-center-2/
13441,Google Douglas County Data Center 1,Google,Hyperscaler,300 Riverside Pkwy,Lithia Springs,30122,Georgia,33.749731,-84.58479969999999,https://www.datacentermap.com/usa/georgia/atlanta/google-douglas-county-data-center-1/
14036,Meta Stanton Springs - Building 3,Meta,Hyperscaler,100 Move Fast Way,Social Circle,30025,Georgia,33.60071025297702,-83.69746502073053,https://www.datacentermap.com/usa/georgia/atlanta/meta-stanton-springs-building-3/
14038,Meta Stanton Springs - Building 5,Meta,Hyperscaler,100 Move Fast Way,Social Circle,30025,Georgia,33.59799863246991,-83.69506729863743,https://www.datacentermap.com/usa/georgia/atlanta/meta-stanton-springs-building-5/
14047,Microsoft East Point (ATL07),Microsoft,Hyperscaler,4165 Ben Hill Rd,Atlanta,30349,Georgia,33.639917,-84.518458,https://www.datacentermap.com/usa/georgia/atlanta/microsoft-east-point-atl07/
