id,name,company,type,address,city,postal,state,lat,lon,profile_url
7780,Prime Sacramento Data Center Campus,Prime Data Centers,Campus,2407 AK Street,McClellan Park,95652,California,38.6432828,-121.4079046,https://www.datacentermap.com/usa/california/sacramento/prime-building-one/
5096,Quest Roseville HABC,Quest Technology Management,Colocation,9000 Foothills Blvd,Roseville,95765,California,38.7909258,-121.317567,https://www.datacentermap.com/usa/california/sacramento/quest-roseville-sdc/
8561,NTT Sacramento CA3,NTT Global Data Centers,Colocation,1625 West National Drive,Sacramento,95834,California,38.6443843,-121.4986357,https://www.datacentermap.com/usa/california/sacramento/ntt-sacramento-ca3/
8559,NTT Sacramento CA1,NTT Global Data Centers,Colocation,1200 Striker Avenue,Sacramento,95834,California,38.65094013948976,-121.4914402040041,https://www.datacentermap.com/usa/california/sacramento/ntt-sacramento-ca1/
8560,NTT Sacramento CA2,NTT Global Data Centers,Colocation,1312 Striker Avenue,Sacramento,95834,California,38.6504135,-121.4893549,https://www.datacentermap.com/usa/california/sacramento/ntt-sacramento-ca2/
2673,Quest McClellan BRC,Quest Technology Management,Colocation,4235 Forcum Ave,McClellan Park,95652,California,38.6444895,-121.4066073,https://www.datacentermap.com/usa/california/sacramento/mcclellan-brc/
11799,Prime Sacramento - Data Center 1,Prime Data Centers,Colocation,2407 AK Street,McClellan Park,95652,California,38.643148,-121.407521,https://www.datacentermap.com/usa/california/sacramento/prime-sacramento-dc1/
8470,Conscious Data Centers,Conscious Capital Data Center,Colocation,3141 Data Dr,Rancho Cordova,95670,California,38.5870116,-121.2821277,https://www.datacentermap.com/usa/california/sacramento/conscious-data-centers/
11800,Prime Sacramento - Data Center 2,Prime Data Centers,Colocation,2408 AK Street,McClellan Park,95652,California,38.6426582,-121.4068614,https://www.datacentermap.com/usa/california/sacramento/prime-sacramento-dc2/
5544,EdgeConneX Sacramento - EDCSAC01,EdgeConneX,Colocation,10980 Gold Center Dr,Rancho Cordova,95670,California,38.59229,-121.277357,https://www.datacentermap.com/usa/california/sacramento/edcsac01/
3983,Datacate Rancho Cordova,Datacate Inc.,Colocation,2999 Gold Canal Dr.,Rancho Cordova,95670,California,38.594558,-121.268192,https://www.datacentermap.com/usa/california/sacramento/datacate/
2617,365 Data Centers - Rancho Cordova,365 Data Centers,Colocation,11085 Sun Center Dr,Rancho Cordova,95670,California,38.59599,-121.272554,https://www.datacentermap.com/usa/california/sacramento/sungard-sacramento/
7548,Prime Data Centers,GroupOne,Colocation,2407 AK St,McClellan,95652,California,38.6432234,-121.4074459,https://www.datacentermap.com/usa/california/sacramento/prime-data-centers/
517,QTS Sacramento,QTS Data Centers,Colocation,1100 North Market Blvd,Sacramento,95834,California,38.647043,-121.4856,https://www.datacentermap.com/usa/california/sacramento/herakles-data/
10371,Cogent Data Center - Oroville,"Cogent Communications, Inc.",Colocation,2405 Bird St,Oroville,95965,California,39.5142331,-121.5502911,https://www.datacentermap.com/usa/california/sacramento/cogent-data-center-oroville/
11135,Consolidated McClellan,Consolidated Communications,Colocation,5115 Arnold Blvd,McClellan,95652,California,38.6733377,-121.390048,https://www.datacentermap.com/usa/california/sacramento/consolidated-mcclellan/
11134,Consolidated Citrus Heights,Consolidated Communications,Colocation,7656 Old Auburn Blvd,Citrus Heights,95610,California,38.6973709,-121.283106,https://www.datacentermap.com/usa/california/sacramento/consolidated-citrus-heights/
558,iStreet Solutions,"iStreet Solutions, LLC",Colocation,1075 Triangle Ct,Broderick,95605,California,38.5869154,-121.5305789,https://www.datacentermap.com/usa/california/sacramento/istreet-solutions/
9511,Lumen Sacramento 1,Lumen,Colocation,1075 Triangle Court,West Sacramento,95691,California,38.5869154,-121.5306666,https://www.datacentermap.com/usa/california/sacramento/lumen-sacramento-1/
5099,DataNOC Data Center,DataNOC.com,Colocation,10321 Placer Lane,Sacramento,95827,California,38.5764625,-121.307198,https://www.datacentermap.com/usa/california/sacramento/datanoccom/
10950,TPx Sacramento Data Center,TPx Communications,Colocation,1099 15th St,Sacramento,95814,California,38.5773799,-121.4870188,https://www.datacentermap.com/usa/california/sacramento/tpx-sacramento-data-center/
5444,Lumen Sacramento 2,Lumen,Colocation,1005 North B Street,Sacramento,95814,California,38.59143,-121.487826,https://www.datacentermap.com/usa/california/sacramento/level3-sacramento2/
778,720 2nd Street (OAK10),Digital Realty,Colocation,720 2nd street,Oakland,94607,California,37.7990209,-122.2825072,https://www.datacentermap.com/usa/california/oakland/720-2nd-st/
9806,MDC San Diego - SDG1,MDC Data Centers,Colocation,7014 Manya Cir,San Diego,92154,California,32.5941922,-117.0853841,https://www.datacentermap.com/usa/california/san-diego/mdc-san-diego/
548,DataBank SAN1 - San Diego World Trade,DataBank,Colocation,12270 World Trade Dr,San Diego,92128,California,32.9885962,-117.0731756,https://www.datacentermap.com/usa/california/san-diego/castle-access/
5550,EdgeConneX San Diego - EDCSDG01,EdgeConneX,Colocation,5761 Copley Drive,San Diego,92111,California,32.8404895,-117.1683742,https://www.datacentermap.com/usa/california/san-diego/edcsdg01/
3373,ScaleMatrix San Diego ,ScaleMatrix,Colocation,5775 Kearny Villa Rd,San Diego,92123,California,32.837756,-117.132835,https://www.datacentermap.com/usa/california/san-diego/scalematrix/
7397,Cogent Data Center - San Diego 2,"Cogent Communications, Inc.",Colocation,9530 Towne Centre Drive,San Diego,92121,California,32.88044764485392,-117.2094655036926,https://www.datacentermap.com/usa/california/san-diego/cogent-san-diego2/
476,LightEdge - San Diego I,LightEdge,Colocation,9305 Lightwave Ave,San Diego,92123,California,32.82785,-117.129683,https://www.datacentermap.com/usa/california/san-diego/american-internet-services-ais/
11115,I2B Networks San Diego,"I2B Networks, Inc",Colocation,8830 Complex Dr,San Diego,92123,California,32.83052398649002,-117.1368640909025,https://www.datacentermap.com/usa/california/san-diego/i2b-networks-san-diego/
5639,CARI.net Campus,CARI.net,Colocation,8915 Complex Drive,Kearney Mesa,92123,California,32.8299041,-117.1341603,https://www.datacentermap.com/usa/california/san-diego/carinet/
5564,Cogent Data Center - San Diego 1,"Cogent Communications, Inc.",Colocation,525 B Street,San Diego,92101,California,32.7176406,-117.1596829,https://www.datacentermap.com/usa/california/san-diego/cogent-san-diego/
695,SimpleNet Colo,"SimpleNet, Inc.",Colocation,225 Broadway,San Diego,92101,California,32.7152655,-117.1624985,https://www.datacentermap.com/usa/california/san-diego/simplenet-colo/
12767,Cogent Data Center - San Diego 3,"Cogent Communications, Inc.",Colocation,1402 K St,San Diego,92101,California,32.7086979,-117.1514773,https://www.datacentermap.com/usa/california/san-diego/cogent-data-center-san-diego-3/
1908,LightEdge - San Diego II,LightEdge,Colocation,9725 Scranton Road,San Diego,92121,California,32.897274,-117.201076,https://www.datacentermap.com/usa/california/san-diego/american-internet-services-sdtc/
1456,Lumen San Diego 1,Lumen,Colocation,8929 Aero Drive,San Diego,92123,California,32.809748,-117.135609,https://www.datacentermap.com/usa/california/san-diego/level3-san-diego/
5456,Lumen San Diego 2,Lumen,Colocation,8923 Complex Drive,San Diego,92123,California,32.829836,-117.134159,https://www.datacentermap.com/usa/california/san-diego/level3-san-diego2/
607,DataBank SNA1 - Irvine,DataBank,Colocation,17222 Von Karman Ave,Irvine,92614,California,33.6904376,-117.8405968,https://www.datacentermap.com/usa/california/irvine/latisys-irvine/
9168,DataBank SNA2 - Irvine,DataBank,Colocation,17400 Von Karman Ave,Irvine,92614,California,33.6878673,-117.8424155,https://www.datacentermap.com/usa/california/irvine/databank-sna2/
702,Aecero,Aecero,Colocation,2463 W La Palma Ave,Anaheim,92801,California,33.8486038,-117.970955,https://www.datacentermap.com/usa/california/irvine/streaming-media-hosting/
3722,Millennium Systems Inc,Millennium Systems,Colocation,580 Wald,Irvine,92618,California,33.6321588,-117.734101,https://www.datacentermap.com/usa/california/irvine/millennium-systems/
1781,Centersquare - Los Angeles LAX3-A,Centersquare,Colocation,17836 Gillette Ave.,Irvine,92614,California,33.68786210291935,-117.8474986553192,https://www.datacentermap.com/usa/california/irvine/cyxtera-lax3/
4729,SMS Datacenter,SMS Datacenter,Colocation,2525 Main Street,Irvine,92614,California,33.6831608,-117.8435413,https://www.datacentermap.com/usa/california/irvine/grupo-sms/
3687,Alchemy Irvine Data Center,"Dynascale, Inc.",Colocation,2640 Main St,Irvine,92614,California,33.6836599,-117.846467,https://www.datacentermap.com/usa/california/irvine/alchemynet/
2394,Cogent Data Center - Anaheim,"Cogent Communications, Inc.",Colocation,300 S Harbor Blvd.,Anaheim,92805,California,33.831584,-117.918,https://www.datacentermap.com/usa/california/irvine/cogent-anaheim/
10368,Cogent Data Center - Rialto,"Cogent Communications, Inc.",Colocation,282 S Sycamore Ave,Rialto,92376,California,34.0972546,-117.3670807,https://www.datacentermap.com/usa/california/irvine/cogent-data-center-rialto/
10369,Cogent Data Center - Anaheim 2,"Cogent Communications, Inc.",Colocation,1750 W Penhall Way,Anaheim,92801,California,33.8347733,-117.9453116,https://www.datacentermap.com/usa/california/irvine/cogent-data-center-anaheim-2/
614,Orange County Internet Exchange,Sangoma Technologies,Colocation,2001 E. Dyer Rd,Santa Ana,92705,California,33.707955,-117.844414,https://www.datacentermap.com/usa/california/irvine/orange-county-internet-exchange/
10952,TPx Santa Ana Data Center,TPx Communications,Colocation,2001 E Dyer Rd,Santa Ana,92705,California,33.7083825,-117.8439486,https://www.datacentermap.com/usa/california/irvine/tpx-santa-ana-data-center/
5280,Lumen Anaheim 1,Lumen,Colocation,2461 W. La Palma Avenue,Anaheim,92801,California,33.848418,-117.970955,https://www.datacentermap.com/usa/california/irvine/level3-anaheim1/
484,Data Canopy - Irvine,Data Canopy,Colocation,16842 Von Karman Ave,Irvine,92606,California,33.694874,-117.836955,https://www.datacentermap.com/usa/california/irvine/hosting-irvine/
8897,Unwired FAT1,unWired Broadband,Colocation,414 Bedford,Fresno,93711,California,36.8464008,-119.7994141,https://www.datacentermap.com/usa/california/fresno/unwired-fat1/
