id,name,type,address,city,postal,state,lat,lon,profile_url,meta_power_totalmw,meta_power_ups_redundancy,meta_power_cooling_redundancy,meta_power_standby_redundancy,meta_building_floors,meta_building_floor_load,meta_building_area_building,meta_building_rooftop_access,meta_building_area_whitespace,meta_building_year_operational,meta_capacity_mw_builtout,meta_capacity_buildingsize,meta_capacity_mw_referenced,meta_capacity_whitespace_builtout,meta_capacity_whitespace_referenced,meta_security_cctv,meta_security_staff,meta_security_guards,meta_security_keycard,meta_security_biometric,meta_amenities_meetmeroom,meta_standards_pci,meta_standards_soc2,meta_standards_soc3,meta_standards_hipaa,meta_standards_iso27001,meta_standards_nist80053,meta_standards_usgbc_leed,meta_standards_tier_designed,meta_security_mantrap,meta_security_firesupression,meta_security_firesupression_text,meta_amenities_loadingbay,meta_amenities_officespace,meta_amenities_conferenceroom,meta_standards_soc1,meta_standards_isae3402,meta_building_expandable,meta_building_construction,meta_building_tenancy_text,meta_standards_sas70,meta_standards_ssae16,meta_standards_tier_certified,meta_power_pue,meta_power_billing,meta_power_kw_rack,meta_power_renewable,meta_building_floor_type,meta_building_year_upgraded,meta_building_ceiling_height,meta_security_controlled_perimeter,meta_amenities_wifi,meta_amenities_breakroom,meta_amenities_crashcarts,meta_amenities_parking_text,meta_power_cooling_text,meta_power_standby_text,meta_amenities_loanertools,meta_standards_fisma,meta_standards_iso9001,meta_standards_iso22301,meta_standards_iso50001,meta_building_area_plot,meta_power_kw_area,meta_capacity_mw_live,meta_standards_fedramp,meta_standards_ssae18
2047,Aon Center,Building,707 Wilshire Boulevard,Los Angeles,90017,California,34.049227,-118.256979,https://www.datacentermap.com/usa/california/los-angeles/aon-center-la/,,,,,62,,1028852,,,1973,,1028852.0,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9985,Colocation America LADC1,Colocation,624 South Grand Avenue,Los Angeles,90017,California,34.0479477,-118.2553576,https://www.datacentermap.com/usa/california/los-angeles/colocation-america-ladc1/,,2N,N+1,2N,,,,1.0,,,,,,,,1.0,,"Yes, 24/7",1.0,1.0,1.0,,,,,,,,,1.0,1.0,Double interlock pre-action sprinkler system,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
7944,CoreSite Los Angeles (LA3),Colocation,260 Bauchet St.,Los Angeles,90012,California,34.0593156,-118.2354621,https://www.datacentermap.com/usa/california/los-angeles/coresite-los-angeles-la3/,,,,,,,150000,1.0,,,,150000.0,,,,,,"Yes, 24/7",,,,1,,,1,1,,,,,,,,,,,,,Purpose-built,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4456,365 Data Centers - Los Angeles 1,Colocation,600 W 7th St.,Los Angeles,90017,California,34.047336,-118.257447,https://www.datacentermap.com/usa/california/los-angeles/inforelay-lax1/,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
742,Vernon Data Center,Colocation,5001 S. Soto Street,Vernon,90058,California,33.9985878,-118.2217903,https://www.datacentermap.com/usa/california/los-angeles/vernon-data-center/,52,,,,,,300000,,,2008,52,300000.0,52,,,1.0,"Yes, 24/7","Yes, 24/7",,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
795,Alchemy LAX Data Center,Colocation,6171 West Century Blvd,Los Angeles,90045,California,33.945606,-118.393274,https://www.datacentermap.com/usa/california/los-angeles/lax-datacenter/,,,,,,,,,,,,,,,,1.0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829,Edge Centres EC101 Los Angeles,Colocation,707 Wilshire Blvd.,Los Angeles,90017,California,34.0524433,-118.2535977,https://www.datacentermap.com/usa/california/los-angeles/multacom/,,,,,,,,,,,,,,,,1.0,,"Yes, 24/7",1.0,1.0,,2,2,,1,,,,,,1.0,FM-200 fire suppression,,,,,,,,,,2,,1.1,,4,,,,,,,,,,,,,,,,,,,,,
5032,Crown Castle Los Angeles LA3,Colocation,530 W 6th St,Los Angeles,90017,California,34.0484512,-118.2545799,https://www.datacentermap.com/usa/california/los-angeles/wilcon/,,,,,,,,,3388,2009,,,,3388.0,3388.0,,,"Yes, 24/7",1.0,,,,,,,,,,,,1.0, pre-action water fire suppression system,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
3136,DataBank - 707 Wilshire Blvd,Colocation,707 Wilshire Blvd,Los Angeles,90017,California,34.049261,-118.257024,https://www.datacentermap.com/usa/california/los-angeles/zcolo-707-wilshireblvd/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5095,One Data Center America,Colocation,3833 Ebony St,Ontario,91761,California,34.0668909,-117.5682629,https://www.datacentermap.com/usa/california/los-angeles/datacenter-america/,,,N+1,,,,,,,,,,,,,1.0,,"Yes, 24/7",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
